Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,,,,,,
2026 Australian Open F,W vs Djokovic,4.3,4.5,4.1,49.60%,64.70%,41.70%,54.50%,,,,,,
2026 Australian Open R32,W vs Moutet,4.1,3.8,4.3,55.90%,57.50%,73.70%,61.50%,,,,,,
2025 Tour Finals F,L vs Sinner,3.9,3.7,4.1,46.20%,62.50%,53.80%,16.70%,,,,,,
2025 Tour Finals SF,W vs Auger Aliassime,3.4,3,3.8,60.90%,44.40%,85.70%,40.00%,,,,,,
2025 Tour Finals RR,W vs De Minaur,4.5,4.1,5,52.20%,50.00%,60.90%,66.70%,,,,,,
2025 Tour Finals RR,W vs Fritz,3.6,3.8,3.4,51.70%,56.10%,47.10%,50.00%,,,,,,
2025 Tour Finals RR,W vs Musetti,3.8,4,3.6,54.50%,78.30%,63.60%,33.30%,,,,,,
2025 Paris R32,L vs Norrie,3.7,3.6,3.9,49.10%,41.70%,53.80%,25.00%,,,,,,
2025 Tokyo F,W vs Fritz,3.8,4.1,3.6,50.60%,65.50%,53.30%,37.50%,,,,,,
2025 Tokyo SF,W vs Ruud,3.2,3.2,3.2,46.40%,57.10%,69.20%,60.00%,,,,,,
2025 Tokyo QF,W vs Nakashima,4,4,4,50.00%,69.20%,71.40%,71.40%,,,,,,
2025 Tokyo R16,W vs Bergs,3.2,3.3,3.1,55.90%,45.90%,80.00%,50.00%,,,,,,
2025 Tokyo R32,W vs Baez,3.9,3.4,4.4,54.80%,53.60%,63.60%,44.40%,,,,,,
2025 Us Open F,W vs Sinner,3.8,3.5,4.1,55.90%,55.80%,61.50%,50.00%,,,,,,
2025 Us Open SF,W vs Djokovic,3.8,3.5,4,56.90%,55.80%,47.80%,57.10%,,,,,,
2025 Us Open QF,W vs Lehecka,3.8,3.6,4,54.70%,63.60%,47.10%,91.70%,,,,,,
2025 Us Open R32,W vs Darderi,3.5,3.3,3.6,66.70%,57.10%,62.50%,16.70%,,,,,,
2025 Us Open R64,W vs Bellucci,3.6,3,4,62.80%,65.50%,56.30%,70.00%,,,,,,
2025 Us Open R128,W vs Opelka,2.5,2.3,2.7,54.20%,69.70%,60.00%,0.00%,,,,,,
2025 Cincinnati F,W vs Sinner,3.3,3.6,3,72.20%,83.30%,75.00%,0.00%,,,,,,
2025 Cincinnati SF,W vs Zverev,3.7,3.1,4.2,53.30%,65.00%,85.70%,70.00%,,,,,,
2025 Cincinnati R16,W vs Nardi,3.5,3.2,3.7,60.00%,66.70%,30.00%,50.00%,,,,,,
2025 Cincinnati R32,W vs Medjedovic,2.5,2.8,2.2,56.60%,45.00%,50.00%,50.00%,,,,,,
2025 Wimbledon F,L vs Sinner,3.5,3.3,3.8,49.30%,35.40%,44.40%,76.90%,,,,,,
2025 Wimbledon SF,W vs Fritz,2.7,2.8,2.7,50.00%,58.10%,61.50%,62.50%,,,,,,
2025 Wimbledon R64,W vs Tarvet,4.6,4.2,5,63.20%,40.90%,66.70%,61.90%,,,,,,
2025 Wimbledon R128,W vs Fognini,3.4,3,3.8,52.60%,46.90%,54.30%,66.70%,,,,,,
2025 Queen's Club F,W vs Lehecka,2.8,2.4,3,57.00%,61.10%,22.20%,100.00%,,,,,,
2025 Queen's Club SF,W vs Bautista Agut,3.6,2.9,4.1,59.50%,53.10%,55.60%,40.00%,,,,,,
2025 Queen's Club QF,W vs Rinderknech,2.5,2.9,2.1,48.20%,70.00%,62.50%,100.00%,,,,,,
2025 Queen's Club R16,W vs Munar,3.6,3.6,3.5,49.40%,62.30%,48.40%,57.10%,,,,,,
2025 Queen's Club R32,W vs Walton,3.3,2.6,3.9,54.60%,56.70%,53.80%,42.90%,,,,,,
2025 nd Garros F,W vs Sinner,4.5,4.1,4.9,45.60%,55.80%,50.90%,54.30%,,,,,,
2025 nd Garros SF,W vs Musetti,4.4,4.4,4.5,51.60%,68.00%,55.20%,53.80%,,,,,,
2025 nd Garros QF,W vs Paul,4.1,3.5,4.4,63.00%,84.80%,23.50%,72.70%,,,,,,
2025 nd Garros R16,W vs Shelton,3.9,4,3.8,51.60%,52.50%,41.40%,65.00%,,,,,,
2025 nd Garros R128,W vs Zeppieri,4.1,3.7,4.4,55.10%,61.50%,68.20%,41.70%,,,,,,
2025 Rome F,W vs Sinner,4.2,3.9,4.7,52.60%,62.50%,55.00%,61.50%,,,,,,
2025 Rome SF,W vs Musetti,3.9,3.8,3.9,51.10%,57.80%,66.70%,30.00%,,,,,,
2025 Rome QF,W vs Draper,4.2,4.3,4.1,58.00%,60.00%,36.40%,41.70%,,,,,,
2025 Rome R64,W vs Lajovic,4.3,3.8,4.6,51.60%,63.60%,50.00%,66.70%,,,,,,
2025 Barcelona F,L vs Rune,5.1,4.2,5.9,54.70%,23.10%,42.90%,55.60%,,,,,,
2025 Barcelona SF,W vs Fils,4,4.2,3.8,58.10%,60.90%,68.80%,37.50%,,,,,,
2025 Barcelona R16,W vs Djere,3.5,2.9,4.1,57.90%,70.40%,44.40%,66.70%,,,,,,
2025 Monte Carlo F,W vs Musetti,3.8,3.1,4.7,55.70%,54.50%,68.40%,75.00%,,,,,,
2025 Monte Carlo SF,W vs Davidovich Fokina,4.3,4.2,4.4,53.30%,56.00%,50.00%,50.00%,,,,,,
2025 Monte Carlo QF,W vs Fils,3.7,3.6,3.8,54.50%,54.20%,30.40%,70.00%,,,,,,
2025 Monte Carlo R32,W vs Cerundolo,4.7,5.1,4.1,61.50%,50.00%,71.40%,38.50%,,,,,,
2025 Miami R64,L vs Goffin,4.4,4,4.8,51.50%,44.20%,50.00%,50.00%,,,,,,
2025 Indian Wells SF,L vs Draper,4.4,4.3,4.5,40.50%,58.10%,61.10%,50.00%,,,,,,
2025 Indian Wells QF,W vs Cerundolo,4.5,4.1,5,54.50%,62.90%,46.70%,52.60%,,,,,,
2025 Indian Wells R16,W vs Dimitrov,4.5,3.7,5.1,61.70%,68.80%,56.30%,62.50%,,,,,,
2025 Indian Wells R32,W vs Shapovalov,3.5,4,2.9,51.40%,58.10%,66.70%,62.50%,,,,,,
2025 Indian Wells R64,W vs Halys,3.1,2.6,3.7,55.40%,60.90%,50.00%,33.30%,,,,,,
2025 Doha QF,L vs Lehecka,3.9,3.8,4,45.20%,65.50%,61.50%,46.20%,,,,,,
2025 Doha R16,W vs Nardi,4.5,4,4.9,51.20%,52.90%,65.40%,62.50%,,,,,,
2025 Doha R32,W vs Cilic,3.7,3.7,3.7,50.00%,58.60%,57.10%,83.30%,,,,,,
2025 Rotterdam F,W vs De Minaur,4.3,4,4.6,54.90%,41.50%,50.00%,63.60%,,,,,,
2025 Rotterdam SF,W vs Hurkacz,4.1,3.9,4.2,49.60%,55.60%,41.20%,70.00%,,,,,,
2025 Rotterdam QF,W vs Martinez,4.7,3.5,5.5,66.70%,80.00%,50.00%,30.00%,,,,,,
2025 Rotterdam R16,W vs Vavassori,3.5,3.6,3.4,62.50%,65.40%,60.00%,100.00%,,,,,,
2025 Rotterdam R32,W vs Van De Zandschulp,4.2,4.2,4.1,50.00%,54.30%,52.20%,55.60%,,,,,,
2025 Australian Open QF,L vs Djokovic,4.5,4,4.9,45.60%,54.40%,48.00%,50.00%,,,,,,
2025 Australian Open R32,W vs Borges,3.9,3.6,4.1,55.60%,51.00%,61.50%,44.40%,,,,,,
2025 Australian Open R64,W vs Nishioka,3.3,2.7,3.9,65.00%,72.00%,45.50%,100.00%,,,,,,
2025 Australian Open R128,W vs Shevchenko,3.7,3,4.3,58.10%,66.70%,62.50%,50.00%,,,,,,
2024 Davis Cup RR,W vs Griekspoor,2.9,2.5,3.2,50.00%,80.00%,75.00%,100.00%,,,,,,
2024 Tour Finals RR,L vs Ruud,3.7,3.3,4,38.20%,53.10%,25.00%,60.00%,,,,,,
2024 Tour Finals RR,L vs Zverev,4.3,4.3,4.3,48.30%,46.20%,40.00%,47.40%,,,,,,
2024 Tour Finals RR,W vs Rublev,3.7,3.6,3.8,47.40%,75.00%,63.60%,46.20%,,,,,,
2024 Paris R16,L vs Humbert,3.3,3,3.6,43.80%,53.70%,50.00%,66.70%,,,,,,
2024 Paris R32,W vs Jarry,2.7,2.6,2.8,61.60%,48.10%,0.00%,50.00%,,,,,,
2024 Shanghai QF,L vs Machac,3.4,3.1,3.6,49.50%,55.60%,29.40%,75.00%,,,,,,
2024 Shanghai R16,W vs Monfils,3.8,3.7,3.8,48.10%,65.50%,66.70%,50.00%,,,,,,
2024 Shanghai R64,W vs Shang,4.1,4.3,4,55.20%,75.00%,80.00%,66.70%,,,,,,
2024 Beijing F,W vs Sinner,3.9,3.8,4,51.70%,54.80%,45.20%,64.30%,,,,,,
2024 Beijing SF,W vs Medvedev,4,4.1,4,50.00%,76.50%,30.80%,66.70%,,,,,,
2024 Beijing QF,W vs Khachanov,4.2,3.9,4.3,45.20%,70.30%,57.10%,80.00%,,,,,,
2024 Beijing R16,W vs Griekspoor,3.1,3.2,3.1,67.20%,52.90%,75.00%,80.00%,,,,,,
2024 Beijing R32,W vs Mpetshi Perricard,3,3.4,2.5,57.50%,42.90%,57.10%,66.70%,,,,,,
2024 US Open R64,L vs Van De Zandschulp,4.7,4.4,4.9,49.40%,39.00%,47.80%,27.80%,,,,,,
2024 US Open R128,W vs Tu,4,3.8,4.1,53.80%,63.50%,73.30%,58.30%,,,,,,
2024 Cincinnati R32,L vs Monfils,3.1,3.3,3,48.60%,48.80%,54.50%,88.90%,,,,,,
2024 Paris Olympics F,L vs Djokovic,4.6,4.7,4.5,49.00%,42.60%,42.90%,55.60%,,,,,,
2024 Paris Olympics SF,W vs Auger Aliassime,3.5,2.8,3.9,57.10%,66.70%,76.90%,66.70%,,,,,,
2024 Paris Olympics QF,W vs Paul,4.2,4,4.5,50.00%,51.40%,73.30%,38.50%,,,,,,
2024 Paris Olympics R32,W vs Griekspoor,3.6,3.3,3.8,57.30%,48.10%,53.80%,66.70%,,,,,,
2024 Paris Olympics R64,W vs Habib,3.2,3.1,3.2,52.10%,76.70%,100.00%,66.70%,,,,,,
2024 Wimbledon F,W vs Djokovic,3.3,3.3,3.4,52.10%,57.10%,62.50%,100.00%,,,,,,
2024 Wimbledon SF,W vs Medvedev,4.3,4.5,4.2,53.60%,57.40%,40.00%,45.50%,,,,,,
2024 Wimbledon QF,W vs Paul,4.4,4.3,4.5,56.40%,50.70%,56.00%,53.60%,,,,,,
2024 Wimbledon R16,W vs Humbert,3.5,3.2,3.9,54.80%,44.80%,50.00%,30.00%,,,,,,
2024 Wimbledon R32,W vs Tiafoe,3.1,2.8,3.4,51.40%,45.30%,63.30%,50.00%,,,,,,
2024 Wimbledon R128,W vs Lajal,3.3,3.2,3.5,54.10%,60.40%,62.50%,60.00%,,,,,,
2024 Queen's Club R16,L vs Draper,2.9,3.1,2.6,47.10%,48.00%,55.60%,0.00%,,,,,,
2024 Roland Garros F,W vs Zverev,4.8,4.9,4.7,52.80%,46.70%,58.10%,56.30%,,,,,,
2024 Roland Garros SF,W vs Sinner,4.4,4.8,4.1,50.70%,46.80%,40.60%,61.30%,,,,,,
2024 Roland Garros QF,W vs Tsitsipas,3.6,3.8,3.5,57.00%,61.40%,30.80%,45.50%,,,,,,
2024 Roland Garros R16,W vs Auger Aliassime,4.2,4.3,4.2,60.00%,56.80%,57.90%,53.30%,,,,,,
2024 Roland Garros R32,W vs Korda,4.9,4.5,5.1,54.30%,60.90%,54.10%,53.80%,,,,,,
2024 Roland Garros R64,W vs De Jong,4.6,4.2,4.9,51.90%,58.60%,53.80%,52.60%,,,,,,
2024 Roland Garros R128,W vs Wolf,4.5,4.3,4.6,64.60%,62.50%,66.70%,75.00%,,,,,,
2024 Madrid QF,L vs Rublev,3.6,3.8,3.4,44.10%,40.00%,56.30%,66.70%,,,,,,
2024 Madrid R64,W vs Shevchenko,4.8,3.7,5.5,51.20%,71.40%,70.00%,83.30%,,,,,,
2024 Miami QF,L vs Dimitrov,4.2,4.3,4,43.90%,44.40%,46.20%,44.40%,,,,,,
2024 Miami R16,W vs Musetti,4.1,3.6,4.5,56.10%,52.80%,57.10%,71.40%,,,,,,
2024 Miami R32,W vs Monfils,5,5,5,65.20%,47.60%,61.50%,64.30%,,,,,,
2024 Miami R64,W vs Carballes Baena,5.5,5.4,5.6,60.00%,48.10%,75.00%,57.10%,,,,,,
2024 Indian Wells F,W vs Medvedev,4.1,3.6,4.6,57.30%,61.50%,47.60%,58.30%,,,,,,
2024 Indian Wells SF,W vs Sinner,5.1,5.2,5,47.10%,58.30%,65.20%,36.80%,,,,,,
2024 Indian Wells QF,W vs Zverev,5.4,5.9,5,59.60%,66.70%,70.00%,60.00%,,,,,,
2024 Indian Wells R16,W vs Marozsan,3.9,3.4,4.4,54.40%,63.60%,54.50%,83.30%,,,,,,
2024 Indian Wells R32,W vs Auger Aliassime,3.7,4.1,3.4,53.40%,65.00%,81.80%,71.40%,,,,,,
2024 Indian Wells R64,W vs Arnaldi,4.4,4.1,4.6,59.50%,60.00%,40.00%,68.40%,,,,,,
2024 Buenos Aires SF,L vs Jarry,3.1,3.2,3,46.40%,62.10%,60.00%,16.70%,,,,,,
2024 Buenos Aires QF,W vs Vavassori,3.7,4.1,3.3,51.90%,56.70%,64.30%,66.70%,,,,,,
2024 Buenos Aires R16,W vs Ugo Carabelli,5.1,4.5,5.5,52.70%,72.10%,33.30%,57.10%,,,,,,
2024 Australian Open QF,L vs Zverev,4.5,4.9,4,49.60%,46.40%,42.30%,45.50%,,,,,,
2024 Australian Open R16,W vs Kecmanovic,4.9,4.5,5.3,54.10%,59.00%,73.70%,61.90%,,,,,,
2023 Tour Finals SF,L vs Djokovic,4,3.3,4.7,43.20%,47.40%,14.30%,45.50%,,,,,,
2023 Tour Finals RR,L vs Zverev,3.5,3.4,3.6,46.50%,42.30%,43.50%,69.20%,,,,,,
2023 Tour Finals RR,W vs Medvedev,3.8,4.4,3.1,52.60%,68.80%,37.50%,60.00%,,,,,,
2023 Tour Finals RR,W vs Rublev,3.2,3,3.3,58.70%,66.70%,75.00%,50.00%,,,,,,
2023 Paris R32,L vs Safiullin,4.1,4.1,4.2,47.60%,46.40%,40.00%,50.00%,,,,,,
