SHOT TYPES,Total,PtEnd---%,Winner--%,IndFcd--%,UnfErr--%,SvReturn,inPtsW--%,inPtsL--%
Total,106321,25017 (24%),9216 (9%),5856 (6%),9938 (9%),24356 (23%),58400 (55%),47921 (45%)
,,,,,,,,
Forehand side,51026,14699 (29%),6132 (12%),3442 (7%),5118 (10%),9577 (19%),29276 (57%),21750 (43%)
Backhand side,36806,6587 (18%),1847 (5%),1633 (4%),3105 (8%),10266 (28%),19135 (52%),17671 (48%)
,,,,,,,,
FH GS (top/flt/slc),37315,9281 (25%),3110 (8%),2366 (6%),3799 (10%),8052 (22%),20767 (56%),16548 (44%)
BH GS (top/flt/slc),45536,6881 (15%),1437 (3%),1727 (4%),3716 (8%),13625 (30%),23478 (52%),22058 (48%)
,,,,,,,,
Baseline shots,101011,21343 (21%),6621 (7%),5337 (5%),9379 (9%),24340 (24%),54469 (54%),46542 (46%)
Net shots,4298,3042 (71%),2190 (51%),426 (10%),424 (10%),1 (0%),3237 (75%),1061 (25%)
,,,,,,,,
Groundstrokes (top/flt),63131,13782 (22%),4034 (6%),3521 (6%),6222 (10%),16442 (26%),34553 (55%),28578 (45%)
Dropshots,2447,1413 (58%),715 (29%),300 (12%),398 (16%),6 (0%),1526 (62%),921 (38%)
Lobs,1544,321 (21%),165 (11%),107 (7%),49 (3%),94 (6%),636 (41%),908 (59%)
,,,,,,,,
Volleys,2803,2041 (73%),1491 (53%),244 (9%),304 (11%),1 (0%),2113 (75%),690 (25%)
Smashes,961,764 (80%),595 (62%),101 (11%),68 (7%),0 (0%),815 (85%),146 (15%)
Half-volleys,451,160 (35%),67 (15%),63 (14%),30 (7%),0 (0%),253 (56%),198 (44%)
Swinging volleys,202,161 (80%),104 (51%),31 (15%),26 (13%),0 (0%),158 (78%),44 (22%)
,,,,,,,,
Forehands (top/flt),34507,9080 (26%),3024 (9%),2304 (7%),3747 (11%),7233 (21%),19467 (56%),15040 (44%)
Backhands (top/flt),38653,6344 (16%),1365 (4%),1603 (4%),3376 (9%),12210 (32%),20417 (53%),18236 (47%)
FH slice/chip,3900,249 (6%),102 (3%),77 (2%),68 (2%),1096 (28%),1814 (47%),2086 (53%)
BH slice/chip,6883,537 (8%),72 (1%),124 (2%),340 (5%),1415 (21%),3061 (44%),3822 (56%)
FH drop shot,2149,1335 (62%),787 (37%),259 (12%),289 (13%),4 (0%),1468 (68%),681 (32%)
BH drop shot,1024,547 (53%),215 (21%),123 (12%),209 (20%),3 (0%),570 (56%),454 (44%)
FH lob,557,111 (20%),53 (10%),38 (7%),20 (4%),34 (6%),218 (39%),339 (61%)
BH lob,987,210 (21%),112 (11%),69 (7%),29 (3%),60 (6%),418 (42%),569 (58%)
,,,,,,,,
FH volley,1463,1096 (75%),829 (57%),134 (9%),132 (9%),2 (0%),1153 (79%),310 (21%)
BH volley,1215,820 (67%),548 (45%),108 (9%),164 (13%),0 (0%),845 (70%),370 (30%)
FH smash,733,590 (80%),462 (63%),69 (9%),59 (8%),0 (0%),626 (85%),107 (15%)
BH smash,84,53 (63%),34 (40%),17 (20%),2 (2%),0 (0%),65 (77%),19 (23%)
FH half-volley,252,102 (40%),41 (16%),42 (17%),19 (8%),0 (0%),144 (57%),108 (43%)
BH half-volley,184,55 (30%),27 (15%),18 (10%),10 (5%),0 (0%),102 (55%),82 (45%)
FH swinging volley,186,148 (80%),96 (52%),30 (16%),22 (12%),0 (0%),147 (79%),39 (21%)
BH swinging volley,23,18 (78%),12 (52%),1 (4%),5 (22%),0 (0%),16 (70%),7 (30%)
Tweener/trick shot,54,7 (13%),1 (2%),0 (0%),6 (11%),0 (0%),8 (15%),46 (85%)